Nama,Circle ID,Tutor/Murid,No WA
user04,0,Murid,81755277231
user13,0,Murid,85893037703
user01,0,Tutor,82656490448
user11,0,Murid,87362548421
user02,1,Murid,83062498696
user06,1,Murid,81596296489
user19,1,Murid,83803810240
user09,1,Murid,85234036525
user15,1,Murid,87898995562
user10,2,Murid,82869695569
user20,2,Tutor,85875680684
user17,3,Tutor,84532981704
user05,3,Murid,81898515877
user14,3,Murid,81957623749
user03,3,Murid,85425086857
user18,3,Murid,87899525561
user07,4,Murid,85805870514
user12,4,Murid,88462092379
user08,4,Tutor,87061777847
user16,4,Murid,83705271441
